date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-09-24,2023-09-25,6.50872168706066e-05,6.50118971771834e-05,6.324542892230633e-05,6.938472208330724e-05,6.317224056757428e-05,6.93044292662713e-05,2749409607.909971,81048.58058383425,2800014243.271619,77756.7720218654,260000.0,259792.9153112374,259791.01010008884,-7.333576230392006e-06,-1.905211148550734,-1.3667925876955752e-05,1.6456191612859519,259789.36448092756,519.1839745295641,-1.905211148550734,1.6456191612859519,-3.5508303098366856,7101.660619673371,0.00036472037779575596
2023-09-25,2023-09-26,6.50118971771834e-05,6.48592554157478e-05,6.324542892230633e-05,6.938472208330724e-05,6.302391814517539e-05,6.914170904708341e-05,2749409607.909971,81048.58058383425,2902839043.7691727,71079.78895580472,259792.9153112374,259373.24058577808,259355.76792643458,-6.736492671350155e-05,-17.472659343504347,-8.657277367211919e-05,4.982001510335768,259350.78592492425,24981.31566633716,-19.37787049205508,6.627620671621719,-26.0054911636768,52010.9823273536,0.01757851828612388
2023-09-26,2023-09-27,6.48592554157478e-05,6.44786897930234e-05,6.324542892230633e-05,6.938472208330724e-05,6.265412147542167e-05,6.873601586742746e-05,2749409607.909971,81048.58058383425,3160789406.777835,54398.47620925115,259373.24058577808,258326.9098062194,258202.03586995363,-0.00048339499883863355,-124.87393626576522,-0.0005349262073483485,13.311897852880088,258188.72397210074,223124.07682577026,-144.2518067578203,19.939518524501807,-164.1913252823221,328382.6505646442,0.15770651801216717
2023-09-27,2023-09-28,6.44786897930234e-05,6.41724956683566e-05,6.324542892230633e-05,6.938472208330724e-05,6.235659179633675e-05,6.84096047030696e-05,2749409607.909971,81048.58058383425,3369993836.4297457,40941.31538461021,258326.9098062194,257485.05673797493,257202.2302552865,-0.001098419016122708,-282.82648268842604,-0.0011762142977914589,20.03112251442463,257182.19913277208,525590.7203480029,-427.07828944624634,39.97064103892644,-467.0489304851728,934097.8609703456,0.3729373045027823
2023-09-28,2023-09-29,6.41724956683566e-05,6.45744543458608e-05,6.324542892230633e-05,6.938472208330724e-05,6.274717615667796e-05,6.883810345395408e-05,2749409607.909971,81048.58058383425,3095664783.5425034,58600.743746959946,257485.05673797493,258590.20578788774,258501.6079819144,-0.0003426185678742207,-88.59780597334611,-0.00038598400042081645,11.213876126311936,258490.3941057881,154767.85969406835,-515.6760954195925,51.184517165238375,-566.8606125848308,1133721.2251696617,0.1092648305543368
2023-09-29,2023-10-01,6.45744543458608e-05,6.45182102648473e-05,6.274717615667796e-05,6.883810345395408e-05,6.269252362736316e-05,6.87781457523103e-05,2771241681.0787487,81048.58058383381,2809624350.976147,78571.12025301004,260000.0,259844.13405838143,259843.05489452425,-4.153119950517165e-06,-1.0791638571827207,-8.919696696929725e-06,1.2385670070907335,259841.81632751715,318.8062998160257,-516.7552592767752,52.42308417232911,-569.1783434491043,1138356.6868982087,0.00022391266043282187
2023-10-01,2023-10-02,6.45182102648473e-05,6.45340320217867e-05,6.274717615667796e-05,6.883810345395408e-05,6.270789767240685e-05,6.87950121703397e-05,2771241681.0787487,81048.58058383381,2798822031.1252155,79268.1520471017,259844.13405838143,259887.9799706798,259887.42262701844,-2.1445534395682595e-06,-0.5573436613485683,-5.569603227900798e-06,0.8901292707897215,259886.53249774766,665.5712188823064,-517.3126029381237,53.31321344311883,-570.6258163812425,1141251.632762485,0.00046738216962636874
2023-10-02,2023-10-03,6.45340320217867e-05,6.42425799820121e-05,6.274717615667796e-05,6.883810345395408e-05,6.24246929180467e-05,6.848431646459802e-05,2771241681.0787487,81048.58058383381,2998451039.3208413,66414.41130066662,259887.9799706798,259080.29593002098,259042.64201638306,-0.00014533684818734637,-37.65391363791423,-0.00017356075337935826,7.3122577094461585,259035.32975867362,60683.31185693614,-554.966516576038,60.62547115256499,-615.5919877286029,1231183.975457206,0.042752437697846014
2023-10-03,2023-10-04,6.42425799820121e-05,6.39549756971092e-05,6.274717615667796e-05,6.883810345395408e-05,6.214522703775352e-05,6.817772256893911e-05,2771241681.0787487,81048.58058383381,3196780738.6261606,53701.751957751694,259080.29593002098,258283.27494804125,258151.7864055746,-0.0005090865542614354,-131.48854246665724,-0.0005619732072334878,13.659737930647694,258138.12666764393,235657.60907201908,-686.4550590426952,74.28520908321269,-760.740268125908,1521480.536251816,0.16659777665871217
2023-10-04,2023-10-05,6.39549756971092e-05,6.40861317610869e-05,6.214522703775352e-05,6.817772256893911e-05,6.227267174841802e-05,6.831753845731432e-05,2798084393.9911695,81048.58058383425,2707036819.1084356,86877.49368553,260000.0,260366.9857357933,260361.01195702679,-2.2943687540261324e-05,-5.973778766521718,-3.414116409628289e-05,2.9154532187498154,260358.09650380805,6116.651095543805,-692.4288378092169,77.20066230196251,-769.6295001111795,1539259.0002223589,0.004287465379497721
