date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-09-24,2023-09-25,0.2026,0.2015,0.1938997927084017,0.21169058216441,0.192847029766747,0.2105412255978708,246791.70779861748,50000.00000000009,277782.1062694042,43738.413187722756,100000.0,99728.52912142151,99711.5076010077,-0.0001706785466883157,-17.021520413807593,-0.00020203426999137065,3.127060164555752,99708.38054084315,27788.92049850368,-17.021520413807593,3.127060164555752,-20.148580578363344,40297.16115672669,0.05086151150447222
2023-09-25,2023-09-26,0.2015,0.2009,0.1938997927084017,0.21169058216441,0.1922727954349354,0.2099143038343039,246791.70779861748,50000.00000000009,294793.13724450645,40315.79756018834,99728.52912142151,99580.45409674234,99539.73883260968,-0.00040886803039780255,-40.71526413265383,-0.0004574102465600636,4.833855928298562,99534.90497668138,71762.81640871054,-57.73678454646142,7.960916092854314,-65.69770063931574,131395.40127863147,0.13157271807407162
2023-09-26,2023-09-27,0.2009,0.1985,0.1938997927084017,0.21169058216441,0.1899758581076888,0.2074066167800365,246791.70779861748,50000.00000000009,363606.80268814263,26573.956674681478,99580.45409674234,98988.15399802566,98749.9070082778,-0.002406823242229676,-238.2469897478586,-0.0025248269086090304,11.68096509989767,98738.22604317791,453132.04929592187,-295.98377429432,19.64188119275198,-315.625655487072,631251.3109741439,0.8374347024911488
2023-09-27,2023-09-28,0.1985,0.1982,0.1938997927084017,0.21169058216441,0.1896887409417829,0.207093155898253,246791.70779861748,50000.00000000009,372296.2839061271,24850.39856794366,98988.15399802566,98914.11648568607,98639.52203813805,-0.002776089574512428,-274.594447548021,-0.0029028683566706412,12.540211226312955,98626.98182691174,524108.472643416,-570.578221842341,32.18209241906494,-602.7603142614059,1205520.628522812,0.969690386581976
2023-09-28,2023-09-29,0.1982,0.1994,0.1938997927084017,0.21169058216441,0.1908372096054062,0.2083469994253868,246791.70779861748,50000.00000000009,337656.12348816945,31736.831094631845,98914.11648568607,99210.26653504441,99065.46211817284,-0.0014595708884666855,-144.80441687157145,-0.0015513798296052166,9.108389520657616,99056.35372865219,271392.05470182764,-715.3826387139125,41.290481939722554,-756.673120653635,1513346.24130727,0.4999628419842378
2023-09-29,2023-10-01,0.1994,0.1984,0.1938997927084017,0.21169058216441,0.1898801523857201,0.207302129819442,246791.70779861748,50000.00000000009,366501.10644593125,25999.58211217902,99210.26653504441,98963.4748272458,98713.40163105178,-0.0025269241670278354,-250.07319619401824,-0.0026478503598496156,11.967276239277366,98701.4343548125,476211.83990948176,-965.4558349079307,53.25775817899992,-1018.7135930869306,2037427.1861738611,0.8804139999987804
2023-10-01,2023-10-02,0.1984,0.1974,0.1898801523857201,0.207302129819442,0.1889230951660341,0.2062572602134972,252016.1290322566,50000.000000000306,281386.0429798049,44187.712580791616,100000.00000000001,99747.98387096776,99733.31746500511,-0.00014703461056036338,-14.66640596264915,-0.00017613689972630813,2.9028946703276874,99730.41457033477,23527.022584642928,-980.1222408705798,56.16065284932761,-1036.2828937199074,2072565.7874398148,0.043051627388248886
2023-10-02,2023-10-03,0.1974,0.1952,0.1898801523857201,0.207302129819442,0.1868175692827247,0.2039585470804188,252016.1290322566,50000.000000000306,346792.46430136735,31348.633660674812,99747.98387096776,99193.54838709679,99042.52269230172,-0.0015225354597226495,-151.02569479506928,-0.0016163095229300498,9.301782076219336,99033.2209102255,283447.8254376999,-1131.1479356656491,65.46243492554694,-1196.610370591196,2393220.741182392,0.5222931195229036
2023-10-03,2023-10-04,0.1952,0.1942,0.1898801523857201,0.207302129819442,0.1858605120630386,0.202913677474474,252016.1290322566,50000.000000000306,376889.41490666464,25488.77670049948,99193.54838709679,98941.53225806454,98680.70107537376,-0.002636215315631809,-260.8311826907884,-0.0027597420653815066,12.22192589509077,98668.47914947866,497218.5135913953,-1391.9791183564375,77.68436082063772,-1469.6634791770753,2939326.9583541504,0.9195554727678646
2023-10-04,2023-10-05,0.1942,0.1934,0.1898801523857201,0.207302129819442,0.1850948662872897,0.2020777817897182,252016.1290322566,50000.000000000306,401134.85752834025,20790.019928868067,98941.53225806454,98739.91935483873,98369.50137484906,-0.0037514511092368464,-370.4179799896665,-0.0038989684144484994,14.565846820045232,98354.93552802902,711704.2663392425,-1762.397098346104,92.25020764068296,-1854.647305986787,3709294.611973574,1.3203892140508582
