price_open,price_hight,price_low,price_vwap,timestamp,date,log_return,price_min_expected,price_max_expected,price_min_shifted,price_max_shifted
1.263,1.27163,1.2613,1.2658,1701388800,2023-12-01,,1.2517651864073687,1.279992172172914,1.2516865071172274,1.2799134928827727
1.26705,1.27239,1.26705,1.2715,1701561600,2023-12-03,0.004492972520969282,1.2574019865041628,1.2857560806745616,1.2573229529148007,1.2856770470851995
1.27106,1.27118,1.2602,1.2652,1701648000,2023-12-04,-0.004967093430680538,1.2511718390287587,1.2793854449622142,1.2510931970332724,1.2793068029667278
1.2633,1.2652,1.2575,1.2618,1701734400,2023-12-05,-0.0026909394947847273,1.2478095372166358,1.2759473241015822,1.2477311065575267,1.2758688934424733
1.25932,1.2614,1.255,1.2592,1701820800,2023-12-06,-0.0020626742735703222,1.2452383652426597,1.2733181728552165,1.2451600961937217,1.2732399038062785
1.25566,1.26126,1.2543,1.2573,1701907200,2023-12-07,-0.001510034064003297,1.2433594318770615,1.271396870021334,1.2432812809278637,1.2713187190721364
1.25858,1.26011,1.2502,1.2562,1701993600,2023-12-08,-0.0008752735788552639,1.24227162834961,1.2702845368017177,1.2421935457739461,1.2702064542260538
1.2519,1.25538,1.2519,1.2547,1702166400,2023-12-10,-0.0011947908546263858,1.2407882599030853,1.2687677187749684,1.2407102705640582,1.2686897294359416
1.25543,1.25907,1.2533,1.2556,1702252800,2023-12-11,0.0007170458021445758,1.241678280971,1.2696778095910182,1.2416002356899911,1.269599764310009
1.25525,1.26156,1.2513,1.2562,1702339200,2023-12-12,0.00047774505248178716,1.24227162834961,1.2702845368017177,1.2421935457739461,1.2702064542260538
1.2569,1.2635,1.2499,1.255,1702425600,2023-12-13,-0.0009557184543962251,1.2410849335923901,1.2690710823803182,1.2410069256060359,1.268993074393964
1.26203,1.2794,1.261,1.2694,1702512000,2023-12-14,0.011408775306485689,1.255325270679028,1.2836325354371125,1.2552463676209578,1.2835536323790424
1.27692,1.27904,1.2667,1.2735,1702598400,2023-12-15,0.003224667547142,1.2593798110995291,1.2877785047102275,1.259300653194651,1.2876993468053493
1.26599,1.26885,1.26599,1.267,1702771200,2023-12-17,-0.0051171140983728314,1.2529518811645883,1.2812056265943133,1.2528731272851374,1.2811268727148624
1.26707,1.2704,1.262,1.2666,1702857600,2023-12-18,-0.0003157562388091151,1.2525563162455151,1.28080114178718,1.2524775872291674,1.2807224127708325
1.26513,1.2762,1.2648,1.2703,1702944000,2023-12-19,0.0029169479470851564,1.256215291746943,1.284542626253162,1.2561363327468904,1.2844636672531096
1.2729,1.273,1.26127,1.2672,1703030400,2023-12-20,-0.0024433509692535437,1.253149663624125,1.28140786899788,1.2530708973131226,1.2813291026868776
1.26392,1.2696,1.2611,1.2656,1703116800,2023-12-21,-0.0012634240467720174,1.251567403947832,1.2797899297693474,1.2514887370892422,1.2797112629107579
1.26818,1.27444,1.2677,1.2705,1703203200,2023-12-22,0.00386420574682934,1.2564130742064794,1.2847448686567284,1.2563341027748756,1.2846658972251244
1.2688,1.269,1.2674,1.2685,1703376000,2023-12-24,-0.0015754237208822582,1.254435249611113,1.2827224446210628,1.2543564024950251,1.2826435975049748
1.26903,1.2736,1.26103,1.2695,1703462400,2023-12-25,0.0007880221053966828,1.2554241619087965,1.2837336566388957,1.2553452526349504,1.2836547473650497
1.27036,1.273,1.2683,1.2705,1703548800,2023-12-26,0.0007874016154855086,1.2564130742064794,1.2847448686567284,1.2563341027748756,1.2846658972251244
1.27258,1.2803,1.2697,1.2752,1703635200,2023-12-27,0.003692505275731675,1.2610609620055904,1.2894975651405431,1.2609816984325235,1.2894183015674763
1.28,1.28276,1.2711,1.2775,1703721600,2023-12-28,0.0018020140419089659,1.2633354602902618,1.291823352781559,1.2632560537543513,1.2917439462456488
1.27335,1.2773,1.2698,1.2739,1703808000,2023-12-29,-0.0028219819621183024,1.2597753760186023,1.2881829895173604,1.259696193250621,1.288103806749379
1.2728,1.2728,1.2728,1.2728,1703980800,2023-12-31,-0.0008638630921641738,1.2586875724911508,1.2870706562977443,1.2586084580967032,1.2869915419032967
1.2731,1.2756,1.2672,1.2726,1704067200,2024-01-01,-0.00015714622488527914,1.258489790031614,1.2868684138941777,1.258410688068718,1.2867893119312819
1.27268,1.276,1.261,1.2673,1704153600,2024-01-02,-0.004173398710673148,1.2532485548538934,1.2815089901996632,1.2531697823271153,1.281430217672885
1.26218,1.26766,1.2615,1.2639,1704240000,2024-01-03,-0.002686474434938005,1.2498862530417705,1.2780708693390312,1.2498076918513696,1.2779923081486304
1.26717,1.27297,1.2655,1.2685,1704326400,2024-01-04,0.003632921386255887,1.254435249611113,1.2827224446210628,1.2543564024950251,1.2826435975049748
1.26799,1.27709,1.26099,1.2694,1704412800,2024-01-05,0.0007092478330333203,1.255325270679028,1.2836325354371125,1.2552463676209578,1.2835536323790424
1.2705,1.27193,1.2705,1.2712,1704585600,2024-01-07,0.001416988350136562,1.257105312814858,1.2854527170692118,1.257026297872823,1.2853737021271772
1.27169,1.2767,1.2672,1.2722,1704672000,2024-01-08,0.0007863490221976325,1.2580942251125409,1.2864639290870445,1.2580151480127482,1.2863848519872518
1.27405,1.2765,1.2689,1.2726,1704758400,2024-01-09,0.0003143665539879055,1.258489790031614,1.2868684138941777,1.258410688068718,1.2867893119312819
1.27106,1.2745,1.2685,1.272,1704844800,2024-01-10,-0.0004715868986242526,1.2578964426530044,1.286261686683478,1.2578173779847632,1.2861826220152368
1.27438,1.2779,1.2689,1.2749,1704931200,2024-01-11,0.0022772792440089898,1.2607642883162855,1.2891942015351934,1.2606850433905459,1.289114956609454
1.27778,1.2786,1.2719,1.2758,1705017600,2024-01-12,0.0007056886637783913,1.2616543093842003,1.2901042923512431,1.2615750085164787,1.2900249914835213
1.27422,1.27506,1.27346,1.274,1705190400,2024-01-14,-0.0014118756757463117,1.2598742672483707,1.2882841107191438,1.2597950782646135,1.2882049217353866
1.27351,1.27651,1.2712,1.2735,1705276800,2024-01-15,-0.00039254171259687695,1.2593798110995291,1.2877785047102275,1.259300653194651,1.2876993468053493
1.27142,1.2717,1.2618,1.2655,1705363200,2024-01-16,-0.006301714434332925,1.2514685127180636,1.279688808567564,1.25138985207525,1.2796101479247501
1.26351,1.2696,1.2595,1.2656,1705449600,2024-01-17,7.901702821078536e-05,1.251567403947832,1.2797899297693474,1.2514887370892422,1.2797112629107579
1.26764,1.27115,1.26469,1.2684,1705536000,2024-01-18,0.00220994565080267,1.2543363583813447,1.2826213234192794,1.2542575174810326,1.2825424825189673
1.27107,1.2715,1.266,1.2686,1705622400,2024-01-19,0.00015766653560442468,1.2545341408408814,1.282823565822846,1.2544552875090176,1.2827447124909823
