date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-09-24,2023-09-25,6.50872168706066e-05,6.50118971771834e-05,6.23434880029455e-05,6.626310067103279e-05,6.227134338486095e-05,6.618642023103586e-05,1178233152.962117,183312.08324901608,1254790855.7551966,178332.03943014643,260000.0,259911.25584013783,259908.37352337321,-1.1089618859721667e-05,-2.8823167646187358,-2.0666091695656708e-05,2.489033081295226,259905.8844902919,786.5673666470192,-2.8823167646187358,2.489033081295226,-5.3713498459139615,10742.699691827922,0.0005523044235439835
2023-09-25,2023-09-26,6.50118971771834e-05,6.48592554157478e-05,6.23434880029455e-05,6.626310067103279e-05,6.212513618350332e-05,6.603102080099543e-05,1178233152.962117,183312.08324901608,1410350330.8900688,168230.70224091905,259911.25584013783,259731.40825628786,259704.97457780244,-0.00010177313041532816,-26.433678485424025,-0.00013077281513071317,7.532128950112856,259697.44244885232,37803.09907062234,-29.31599525004276,10.021162031408082,-39.33715728145084,78674.31456290168,0.026565011284840654
2023-09-26,2023-09-27,6.48592554157478e-05,6.44786897930234e-05,6.23434880029455e-05,6.626310067103279e-05,6.176061317152974e-05,6.564357977366355e-05,1178233152.962117,183312.08324901608,1800592985.2527351,142994.21996370572,259731.40825628786,259283.0132227163,259094.09650331078,-0.0007286120176459833,-188.9167194055335,-0.0008061597125583864,20.10680000535802,259073.98970330541,337619.83880035096,-218.23271465557627,30.127962036766103,-248.36067669234237,496721.3533846847,0.2378117502969687
2023-09-27,2023-09-28,6.44786897930234e-05,6.41724956683566e-05,6.176061317152974e-05,6.564357977366355e-05,6.146732655311914e-05,6.533185386060123e-05,1189352900.8910422,183312.083249014,1507339793.144486,162857.4458577197,260000.0,259635.82712959175,259587.20220402576,-0.00018728126277319608,-48.62492556599318,-0.0002266135301181675,10.212065765002908,259576.99013826076,76825.71960198056,-266.85764022156945,40.34002780176901,-307.19766802333845,614395.3360466768,0.054011498672965064
2023-09-28,2023-09-29,6.41724956683566e-05,6.45744543458608e-05,6.176061317152974e-05,6.564357977366355e-05,6.185234080312897e-05,6.574107443560302e-05,1189352900.8910422,183312.083249014,1090364669.206673,189699.452756232,259635.82712959175,260113.8978487197,260109.1563082579,-1.8228708658102495e-05,-4.741540461807745,-3.0513380102341286e-05,3.195413773155243,260105.96089448474,3092.2533773050027,-271.5991806833772,43.535441574924256,-315.1346222583015,630269.244516603,0.0021696131323011274
2023-09-29,2023-10-01,6.45744543458608e-05,6.45182102648473e-05,6.176061317152974e-05,6.564357977366355e-05,6.17984676716833e-05,6.568381423334615e-05,1189352900.8910422,183312.083249014,1148475360.9251087,185948.62109407838,260113.8978487197,260047.00378780835,260046.19591424093,-3.1066443975642206e-06,-0.8078735674207564,-8.177103746625807e-06,1.3185577615504909,260044.87735647938,1021.3683882594688,-272.40705425079796,44.85399933647475,-317.2610535872727,634522.1071745454,0.000716794684121527
2023-10-01,2023-10-02,6.45182102648473e-05,6.45340320217867e-05,6.17984676716833e-05,6.568381423334615e-05,6.181362246799143e-05,6.56999218305561e-05,1188624365.6819046,183312.08324901413,1172274851.8621233,184367.05395045524,260000.0,260018.80612580606,260018.67677886077,-4.974522697845312e-07,-0.1293469452939462,-2.526271706022996e-06,0.5275312076480938,260018.1492476531,796.3685247082952,-272.5364011960919,45.381530544122846,-317.9179317402147,635835.8634804294,0.000558949293795805
2023-10-02,2023-10-03,6.45340320217867e-05,6.42425799820121e-05,6.17984676716833e-05,6.568381423334615e-05,6.153445648703938e-05,6.54032043370004e-05,1188624365.6819046,183312.08324901413,1474417102.1716397,164912.6761066439,260018.80612580606,259672.37912990229,259633.03471975197,-0.0001515155762123998,-39.34441015031189,-0.0001868955742281931,9.187208258378083,259623.8475114936,60314.4037838676,-311.8808113464038,54.56873880250093,-366.44955014890473,732899.1002978095,0.04239590968243778
2023-10-03,2023-10-04,6.42425799820121e-05,6.39549756971092e-05,6.17984676716833e-05,6.568381423334615e-05,6.125897606019789e-05,6.511040411292833e-05,1188624365.6819046,183312.08324901413,1774592824.0917563,145671.8276147123,259672.37912990229,259330.5256691922,259165.86855176496,-0.0006349314913944212,-164.65711742723943,-0.0007073250230534548,18.77385262019032,259147.09469914477,291766.5296140982,-476.5379287736432,73.34259142269124,-549.8805201963345,1099761.040392669,0.20545680629985216
2023-10-04,2023-10-05,6.39549756971092e-05,6.40861317610869e-05,6.125897606019789e-05,6.511040411292833e-05,6.138460328616092e-05,6.524392967891233e-05,1199092266.3184114,183312.0832490144,1061350078.7087417,192130.409745336,260000.0,260157.2682219964,260148.23073410435,-3.473855623493024e-05,-9.037487892055651,-5.169945285251618e-05,4.412500530614853,260143.81823357372,9249.974722881596,-485.57541666569887,77.75509195330609,-563.330508619005,1126661.01723801,0.006489071181311655
