price,amount0,amount1,value_lp,value_hodl,impermanent_loss,Absolute impermanent loss value,range_status,expected_volum_usd,daily_volum_usd,APR
0.05081391162226479,2738871.123310079,0,139172.75520465145,140668.5582540097,-0.01063352797472502,-1495.8030493582482,below_range,598321.2197432993,19944.040658109978,0.13076508454376787
0.050836242749548566,2725424.798291501,683.422137951526,139233.77877953774,140698.86077465996,-0.010412891668459658,-1465.081995122222,in_range,586032.7980488888,19534.426601629628,0.12802327445419218
0.05085857387683234,2710857.063297443,1424.1536895338736,139294.47791277966,140729.16329531022,-0.010194655812171445,-1434.6853825305589,in_range,573874.1530122235,19129.138433740784,0.12531249682215156
0.05088090500411612,2696298.9198087384,2164.7226377020047,139354.85183919134,140759.4658159605,-0.009978824291686695,-1404.6139767691493,in_range,561845.5907076597,18728.18635692199,0.12263275964307094
0.050903236131399895,2681750.3573048403,2905.129089490098,139414.90077284444,140789.76833661075,-0.009765394034026495,-1374.867563766311,in_range,549947.0255065244,18331.567516884144,0.11998398497167681
0.05092556725868367,2667211.365281302,3645.3731518173204,139474.6249275758,140820.07085726102,-0.009554361970524849,-1345.4459296852292,in_range,538178.3718740917,17939.279062469723,0.11736609546721326
0.050947898385967444,2652681.9332498005,4385.454931485336,139534.02451698785,140850.37337791128,-0.009345725036820305,-1316.3488609234337,in_range,526539.5443693735,17551.318145645782,0.11477901438979801
0.05097022951325122,2638162.0507381237,5125.374535177471,139593.09975444915,140880.67589856152,-0.009139480172848236,-1287.5761441123614,in_range,515030.45764494454,17167.68192149815,0.11222266559681986
0.05099256064053499,2623651.7072900753,5865.132069462045,139651.85085309437,140910.97841921178,-0.008935624322836622,-1259.127566117415,in_range,503651.026446966,16788.3675482322,0.10969697353941256
0.051014891767818774,2609150.892465514,6604.7276407890395,139710.27802582498,140941.28093986204,-0.008734154435295042,-1231.0029140370607,in_range,492401.1656148243,16413.37218716081,0.10720186325887746
0.05103722289510255,2594659.5958402692,7344.161355493009,139768.3814853095,140971.5834605123,-0.00853506746300987,-1203.201975202799,in_range,481280.79008111963,16042.693002703987,0.10473726038321499
0.05105955402238632,2580177.807006126,8083.433319792251,139826.1614439838,141001.88598116254,-0.008338360363036782,-1175.7245371787576,in_range,470289.81487150304,15676.327162383435,0.10230309112365583
0.051081885149670096,2565705.515570823,8822.543639787558,139883.61811405144,141032.1885018128,-0.008144030096693898,-1148.5703877613705,in_range,459428.1551045482,15314.271836818274,0.09989928227123078
0.05110421627695387,2551242.7111579627,9561.492421465542,139940.75170748422,141062.49102246307,-0.007952073629553493,-1121.739314978855,in_range,448695.725991542,14956.524199718066,0.09752576119335532
0.05112654740423765,2536789.383407019,10300.279770696558,139997.56243602233,141092.79354311334,-0.007762487931435992,-1095.2311070910073,in_range,438092.4428364029,14603.081427880097,0.09518245583047306
0.051148878531521426,2522345.5219733138,11038.905793234699,140054.05051117472,141123.0960637636,-0.0075752699764031275,-1069.0455525888829,in_range,427618.22103555314,14253.940701185105,0.09286929469272023
0.0511712096588052,2507911.1165279704,11777.370594718634,140110.21614421965,141153.39858441387,-0.007390416742749275,-1043.182440194214,in_range,417272.9760776856,13909.09920258952,0.09058620685659799
0.051193540786088974,2493486.156757863,12515.674280672847,140166.05954620475,141183.70110506413,-0.007207925212996694,-1017.6415588593809,in_range,407056.62354375236,13568.55411812508,0.08833312196172372
0.05121587191337275,2479070.632365621,13253.816956505983,140221.58092794762,141214.0036257144,-0.007027792373886466,-992.4226977667713,in_range,396969.0791067085,13232.302636890285,0.08610997020755895
0.05123820304065652,2464664.5330695785,13991.798727512087,140276.78050003605,141244.30614636466,-0.006850015216372728,-967.525646328606,in_range,387010.2585314424,12900.34195104808,0.08391668235020798
0.051260534167940304,2450267.848603753,14729.619698870194,140331.65847282845,141274.60866701492,-0.006674590735614861,-942.9501941864728,in_range,377180.0776745891,12572.669255819637,0.08175318969922087
0.05128286529522408,2435880.568717811,15467.279975644737,140386.21505645406,141304.91118766516,-0.006501515930971332,-918.6961312110943,in_range,367478.45248443773,12249.281749481257,0.07961942411444604
0.05130519642250785,2421502.6831770246,16204.779662786388,140440.45046081344,141335.21370831542,-0.006330787805992719,-894.7632475019782,in_range,357905.2990007913,11930.17663335971,0.07751531800290183
0.05132752754979163,2407134.181762277,16942.11886513039,140494.3648955788,141365.5162289657,-0.0061624033684135136,-871.1513333868934,in_range,348460.53335475735,11615.351111825245,0.07544080431566175
0.0513498586770754,2392775.0542699704,17679.297687399874,140547.95857019429,141395.81874961592,-0.005996359630145998,-847.8601794216374,in_range,339144.071768655,11304.802392288499,0.07339581654479378
0.051372189804359175,2378425.2905120556,18416.31623420297,140601.23169387638,141426.1212702662,-0.005832653607274108,-824.8895763898036,in_range,329955.8305559214,10998.527685197381,0.07138028872032788
0.051394520931642956,2364084.880315987,19153.174610033613,140654.18447561422,141456.42379091645,-0.005671282320045073,-802.2393153022276,in_range,320895.72612089105,10696.524204029702,0.06939415540722382
0.05141685205892673,2349753.813524667,19889.87291927323,140706.81712416996,141486.72631156672,-0.005512242792863297,-779.9091873967554,in_range,311963.6749587022,10398.789165290073,0.06743735170239476
0.051439183186210505,2335432.079996441,20626.411266189472,140759.12984807903,141517.02883221698,-0.005355532054283863,-757.8989841379516,in_range,303159.59365518065,10105.319788506022,0.06550981323175313
0.05146151431349428,2321119.669605055,21362.789754937054,140811.1228556507,141547.33135286724,-0.005201147137004174,-736.2084972165467,in_range,294483.39888661867,9816.113296220623,0.0636114761472614
0.05148384544077805,2306816.572239635,22099.008489557345,140862.79635496813,141577.6338735175,-0.005049085077859117,-714.8375185493787,in_range,285935.0074197515,9531.166913991716,0.06174227712405268
0.051506176568061834,2292522.7778046327,22835.067573980017,140914.15055388902,141607.93639416777,-0.004899342917812108,-693.7858402787533,in_range,277514.3361115013,9250.477870383378,0.05990215335752789
0.05152850769534561,2278238.2762198583,23570.967112019738,140965.18566004562,141638.23891481804,-0.004751917701950473,-673.0532547724142,in_range,269221.3019089657,8974.043396965522,0.05809104256053224
0.05155083882262938,2263963.0574203534,24306.70720738155,141015.90188084543,141668.5414354683,-0.004606806479476314,-652.6395546228741,in_range,261055.82184914965,8701.860728304988,0.05630888296050301
0.05157316994991316,2249697.11135645,25042.287963656323,141066.2994234712,141698.84395611854,-0.004464006303701492,-632.5445326473273,in_range,253017.81305893091,8433.927101964364,0.054555613296693575
