date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,il_no_rebalance,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-06-28,2023-06-29,0.0585,0.0585,0.0560870533943866,0.0610167550777861,0.0560870533943866,0.0610167550777861,1227649.572649571,71817.50000000009,1227649.572649571,71817.50000000009,143635.0,143635.0,143635.0,0.0,0.0,0.0,0.0,143635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-29,2023-06-30,0.0585,0.0584,0.0560870533943866,0.0610167550777861,0.0559911780894389,0.0609124529323539,1227649.572649571,71817.50000000009,1278061.6621093892,68870.91444917678,143635.0,143512.23504273506,143509.7155163651,-1.7556178183739918e-05,-2.5195263699570205,-6.88649815529844e-05,7.363441048874623,143502.35207531622,-0.0008547008547007265,1937.565871567041,-2.5195263699570205,7.363441048874623,-9.882967418831644,1007.8105479828082,0.01231992448346334
2023-06-30,2023-07-02,0.0584,0.0584,0.0559911780894389,0.0609124529323539,0.0559911780894389,0.0609124529323539,1229751.7123287339,71817.50000000194,1229751.7123287339,71817.50000000194,143635.0,143635.0,143635.0,0.0,0.0,0.0,0.0,143635.0,0.0,0.0,-2.5195263699570205,7.363441048874623,-9.882967418831644,1007.8105479828082,0.0
2023-07-02,2023-07-03,0.0584,0.0585,0.0559911780894389,0.0609124529323539,0.0560870533943866,0.0610167550777861,1229751.7123287339,71817.50000000194,1179296.4802940877,74766.60723340132,143635.0,143757.9751712329,143755.45133060543,-1.7556178183869223e-05,-2.523840627458412,-6.886498155303328e-05,7.3760496808076965,143748.07528092462,0.000856164383561716,1940.8836213397137,-5.043366997415433,14.73949072968232,-19.782857727097753,2017.346798966173,0.012319924483416319
2023-07-03,2023-07-04,0.0585,0.0587,0.0560870533943866,0.0610167550777861,0.0562788040042819,0.0612253593686503,1227649.572649571,71817.50000000009,1127212.1325787439,77703.12541839688,143635.0,143880.52991452994,143870.47760076914,-6.98656987624908e-05,-10.052313760796096,-0.00017222587536805254,14.727636452156007,143855.749964317,0.0017094017094018584,1870.1290765439644,-15.095680758211529,29.46712718183833,-44.56280794004986,6038.272303284612,0.011861313111657067
2023-07-04,2023-07-05,0.0587,0.0587,0.0562788040042819,0.0612253593686503,0.0562788040042819,0.0612253593686503,1223466.780238476,71817.50000000143,1223466.780238476,71817.50000000143,143634.99999999997,143634.99999999997,143634.99999999997,0.0,0.0,0.0,0.0,143634.99999999997,0.0,0.0,-15.095680758211529,29.46712718183833,-44.56280794004986,6038.272303284612,0.0
2023-07-05,2023-07-06,0.0587,0.0583,0.0562788040042819,0.0612253593686503,0.0558953027844912,0.0608081507869218,1223466.780238476,71817.50000000143,1424514.670505223,60056.26715391903,143634.99999999997,143145.6132879046,143105.47244437353,-0.0002804196552661696,-40.140843531058636,-0.0004855322482184528,29.360967911225753,143076.1114764623,-0.0034071550255535222,4311.950247933153,-55.236524289270164,58.82809509306408,-114.06461938233424,22094.609715708066,0.02749478782349459
2023-07-06,2023-07-07,0.0583,0.0581,0.0558953027844912,0.0608081507869218,0.0557035521745959,0.0605995464960576,1231861.063464794,71817.50000000252,1333509.6276742695,65901.56229571202,143635.0,143388.62778730705,143378.4716635871,-7.082935290397539e-05,-10.156123719963944,-0.0001738931331329234,14.778174021598828,143363.69348956548,-0.001715265866209139,1848.8201206539536,-65.39264800923411,73.60626911466291,-138.998917123897,26157.059203693643,0.01176639938006245
2023-07-07,2023-07-09,0.0581,0.0583,0.0557035521745959,0.0605995464960576,0.0558953027844912,0.0608081507869218,1236101.5490533297,71817.50000000157,1134278.180649018,77743.61129341397,143635.00000000003,143882.2203098107,143872.0292252517,-7.082935290457455e-05,-10.191084559017327,-0.00017389313313345258,14.829045532860807,143857.20017971884,0.0017211703958692783,1855.184389537392,-75.58373256825143,88.43531464752371,-164.01904721577515,30233.493027300574,0.011766399379843797
2023-07-09,2023-07-10,0.0583,0.0585,0.0558953027844912,0.0608081507869218,0.0560870533943866,0.0610167550777861,1231861.063464794,71817.50000000252,1130734.2204965553,77723.2989712212,143635.0,143881.37221269298,143871.2508702697,-7.034505070137057e-05,-10.12134242328466,-0.00017305582406883105,14.778167013151387,143856.47270325656,0.0017152658662093418,1862.7298359466913,-85.7050749915361,103.2134816606751,-188.91855665221118,34282.02999661444,0.01181431985208797
2023-07-10,2023-07-11,0.0585,0.0586,0.0560870533943866,0.0610167550777861,0.0561829286993342,0.0611210572232182,1227649.572649571,71817.50000000009,1177366.5794888132,74761.56817605687,143635.0,143757.76495726494,143755.24973410132,-1.7496259519367977e-05,-2.5152231636166107,-6.871742742658375e-05,7.3634406168550415,143747.88629348448,0.0008547008547007265,1939.2869812953722,-88.2202981551527,110.57692227753014,-198.79722043268285,35288.11926206108,0.012309806937174041
2023-07-11,2023-07-12,0.0586,0.059,0.0561829286993342,0.0611210572232182,0.0565664299191249,0.0615382658049466,1225554.6075085062,71817.50000000156,1025873.2408330768,83558.69644148817,143635.0,144125.2218430034,144085.2176506397,-0.00027756552151073506,-40.00419236370362,-0.0004816310511863887,29.41098973502322,144055.8066609047,0.0034129692832764423,4237.2810514721605,-128.22449051885633,139.98791201255335,-268.2124025314097,51289.79620754253,0.026834945475415883
