timestamp,date,price,amount0,amount1,value_usd
1745798400,2025-04-28,0.0511,2621595.742301294,9671.457568403872,143635.0
1745884800,2025-04-29,0.051,2688159.9434146783,6273.356731443595,143369.51384559218
1745971200,2025-04-30,0.0511,2621595.742301294,9671.457568403872,143635.0
1746057600,2025-05-01,0.0509,2754920.2100002407,2871.922786796403,143097.36147580866
1746144000,2025-05-02,0.051,2688159.9434146783,6273.356731443595,143369.51384559218
1746316800,2025-05-04,0.051,2688159.9434146783,6273.356731443595,143369.51384559218
1746403200,2025-05-05,0.051,2688159.9434146783,6273.356731443595,143369.51384559218
1746489600,2025-05-06,0.0507,2889032.803902657,-3940.9837833750994,142532.9793744896
1746576000,2025-05-07,0.0509,2754920.2100002407,2871.922786796403,143097.36147580866
1746662400,2025-05-08,0.0511,2621595.742301294,9671.457568403872,143635.0
1746748800,2025-05-09,0.0513,2489051.7117525237,16457.698988735567,144146.05180164002
1746921600,2025-05-11,0.0514,2423069.9862356014,19845.858987852767,144391.6562803627
1747008000,2025-05-12,0.0511,2621595.742301294,9671.457568403872,143635.0
1747094400,2025-05-13,0.0512,2555226.6488409596,13066.235076976485,143893.83949763363
1747180800,2025-05-14,0.0516,2291682.42277918,26612.30574977234,144863.11876517805
1747267200,2025-05-15,0.0515,2357280.5339139006,23230.724711420735,144630.67220798662
1747353600,2025-05-16,0.0513,2489051.7117525237,16457.698988735567,144146.05180164002
1747526400,2025-05-18,0.0514,2423069.9862356014,19845.858987852767,144391.6562803627
1747612800,2025-05-19,0.0515,2357280.5339139006,23230.724711420735,144630.67220798662
1747699200,2025-05-20,0.0518,2161056.5275457865,33365.651900261655,145308.3800271334
1747785600,2025-05-21,0.0518,2161056.5275457865,33365.651900261655,145308.3800271334
1747872000,2025-05-22,0.0517,2226274.727135781,29990.61164679863,145089.01503971854
1747958400,2025-05-23,0.0518,2161056.5275457865,33365.651900261655,145308.3800271334
1748131200,2025-05-25,0.052,2031184.9697377498,40105.97323877639,145727.59166513936
1748217600,2025-05-26,0.052,2031184.9697377498,40105.97323877639,145727.59166513936
1748304000,2025-05-27,0.052,2031184.9697377498,40105.97323877639,145727.59166513936
1748390400,2025-05-28,0.0517,2226274.727135781,29990.61164679863,145089.01503971854
1748476800,2025-05-29,0.0517,2226274.727135781,29990.61164679863,145089.01503971854
1748563200,2025-05-30,0.0517,2226274.727135781,29990.61164679863,145089.01503971854
1748736000,2025-06-01,0.0514,2423069.9862356014,19845.858987852767,144391.6562803627
1748822400,2025-06-02,0.0518,2161056.5275457865,33365.651900261655,145308.3800271334
1748908800,2025-06-03,0.052,2031184.9697377498,40105.97323877639,145727.59166513936
1748995200,2025-06-04,0.0521,1966529.8034467837,43471.27309150309,145927.47585108053
1749081600,2025-06-05,0.0521,1966529.8034467837,43471.27309150309,145927.47585108053
1749168000,2025-06-06,0.0522,1902060.516957645,46833.34483662639,146120.90382181547
1749340800,2025-06-08,0.0523,1837776.221318146,50192.197745888065,146307.89412082708
1749427200,2025-06-09,0.0524,1773676.0335165937,53547.84104673098,146488.4652030005
1749513600,2025-06-10,0.0525,1709759.0764308728,56900.28392259363,146662.63543521444
1749600000,2025-06-11,0.0527,1582471.3750641881,63595.60491487891,146991.84638076162
1749686400,2025-06-12,0.0528,1519098.905535656,66938.50118079137,147146.92339307402
1749772800,2025-06-13,0.0526,1646024.4787779783,60249.535513206334,146830.423096928
1749945600,2025-06-15,0.0545,468597.69499094744,123290.81717721633,148829.39155422297
1750032000,2025-06-16,0.0529,1455906.21612961,70278.23332127687,147295.67215453327
1750118400,2025-06-17,0.0527,1582471.3750641881,63595.60491487891,146991.84638076162
1750204800,2025-06-18,0.0526,1646024.4787779783,60249.535513206334,146830.423096928
1750291200,2025-06-19,0.0524,1773676.0335165937,53547.84104673098,146488.4652030005
1750377600,2025-06-20,0.0524,1773676.0335165937,53547.84104673098,146488.4652030005
1750550400,2025-06-22,0.0519,2096026.9107746866,36737.43596210857,145521.2326313148
1750636800,2025-06-23,0.0521,1966529.8034467837,43471.27309150309,145927.47585108053
1750723200,2025-06-24,0.0525,1709759.0764308728,56900.28392259363,146662.63543521444
1750809600,2025-06-25,0.0527,1582471.3750641881,63595.60491487891,146991.84638076162
1750896000,2025-06-26,0.0529,1455906.21612961,70278.23332127687,147295.67215453327
1750982400,2025-06-27,0.053,1392892.4584259628,73614.81030410777,147438.11060068378
