date_start,date_end,price_start,price_end,range_start_min,range_start_max,range_end_min,range_end_max,amount0_start,amount1_start,amount0_end,amount1_end,value_start,value_hold,value_end,il,il_value,il_net,rebalance_cost,net_value_after_cost,day_volum_expected,cumulative_il,cumulative_rebalance_cost,cumulative_il_net,cumulative_volum,min_apr_required
2023-07-16,2023-07-17,6.662e-05,6.668e-05,6.523527721193161e-05,6.803411573743176e-05,6.529403008843591e-05,6.809538933311243e-05,1951365956.1693227,129999.99999999972,1867311767.5022328,135602.2111071536,260000.0,260117.08195737016,260114.55976420248,-9.69637652667553e-06,-2.522193167678779,-2.0467537589702313e-05,2.801762985000011,260111.75800121747,559.139634642464,-2.522193167678779,2.801762985000011,-5.3239561526787895,10647.912305357579,0.0003923001596479377
2023-07-17,2023-07-18,6.668e-05,6.67e-05,6.523527721193161e-05,6.803411573743176e-05,6.5313614380604e-05,6.811581386500597e-05,1951365956.1693227,129999.99999999972,1839318911.4182832,137469.05465840487,260117.08195737016,260156.10927649355,260151.62605000436,-1.7232831862593763e-05,-4.483226489188382,-3.1592332589081376e-05,3.7357118401676734,260147.8903381642,1495.0292980414179,-7.005419656867161,6.537474825167685,-13.542894482034846,27085.788964069692,0.0010487839381796331
2023-07-18,2023-07-19,6.67e-05,6.669e-05,6.523527721193161e-05,6.803411573743176e-05,6.530382223451995e-05,6.81056015990592e-05,1951365956.1693227,129999.99999999972,1853313765.4130197,136535.66787384887,260156.10927649355,260136.59561693185,260133.16288924316,-1.319586612006549e-05,-3.4327276886906475,-2.5761321565675393e-05,3.2687348020092113,260129.89415444116,327.98577336287235,-10.438147345557809,9.806209627176896,-20.244356972734707,40488.71394546941,0.00023010293256692411
2023-07-19,2023-07-20,6.669e-05,6.66e-05,6.530382223451995e-05,6.81056015990592e-05,6.521569291976352e-05,6.801369120553821e-05,1949317738.791414,130000.00000000061,2075347036.4320676,121600.7793734317,260000.0,259824.5614035088,259818.8919998074,-2.1820122280802198e-05,-5.669403701380361,-3.7978269877510816e-05,4.198283612397997,259814.693716195,2942.240177964727,-16.10755104693817,14.004493239574893,-30.11204428651306,60224.08857302612,0.0020666658546098357
2023-07-20,2023-07-21,6.66e-05,6.64e-05,6.530382223451995e-05,6.81056015990592e-05,6.501984999808255e-05,6.780944588660265e-05,1949317738.791414,130000.00000000061,2356328960.9055114,102915.50252242011,259824.5614035088,259434.6978557505,259375.74552654606,-0.00022723378827771616,-58.95232920444687,-0.0002793877725104971,13.530553141400015,259362.21497340465,90843.55212609371,-75.05988025138504,27.535046380974908,-102.59492663235994,205189.8532647199,0.06391865295406086
2023-07-21,2023-07-23,6.64e-05,6.646e-05,6.530382223451995e-05,6.81056015990592e-05,6.507860287458683e-05,6.787071948228332e-05,1949317738.791414,130000.00000000061,2271901220.0807643,108524.03677349047,259434.6978557505,259551.65692007798,259514.59186005808,-0.0001428041741660457,-37.06506001990056,-0.0001841455849322977,10.730231663805636,259503.86162839428,52669.65671218984,-112.1249402712856,38.265278044780544,-150.39021831606613,300780.4366321322,0.03703919799298987
2023-07-23,2023-07-24,6.646e-05,6.652e-05,6.507860287458683e-05,6.787071948228332e-05,6.513735575109113e-05,6.793199307796398e-05,1956063797.7730906,130000.00000000036,1871604544.449198,135615.69518189123,259999.99999999994,260117.36382786633,260114.82947865187,-9.743098950277501e-06,-2.534349214460235,-2.0540179985644566e-05,2.808508255951052,260112.0209703959,548.3180829816341,-114.65928948574583,41.0737863007316,-155.73307578647743,311466.15157295484,0.00038470720929181394
2023-07-24,2023-07-25,6.652e-05,6.65e-05,6.507860287458683e-05,6.787071948228332e-05,6.511777145892304e-05,6.791156854607043e-05,1956063797.7730906,130000.00000000036,1899744927.9322743,133744.07829758682,260117.36382786633,260078.2425519109,260077.11600508308,-4.33156890311366e-06,-1.126546827814309,-1.1530667114932988e-05,1.8723288108931877,260075.2436762722,1491.5639661577575,-115.78583631356014,42.946115111624785,-158.73195142518492,317463.9028503698,0.0010466527313324656
2023-07-25,2023-07-26,6.65e-05,6.648e-05,6.507860287458683e-05,6.787071948228332e-05,6.509818716675493e-05,6.789114401417688e-05,1956063797.7730906,130000.00000000036,1927898009.1895146,131872.1799459638,260078.2425519109,260039.12127595543,260038.83959688275,-1.083218060794527e-06,-0.2816790726792533,-4.6832971243467396e-06,0.9361613962226075,260037.90343548654,1308.9646470867085,-116.06751538623939,43.88227650784739,-159.9497918940868,319899.58378817356,0.0009186552611281071
2023-07-26,2023-07-27,6.648e-05,6.655e-05,6.509818716675493e-05,6.789114401417688e-05,6.516673218934329e-05,6.796262987580432e-05,1955475330.9265919,130000.00000000019,1857009893.047323,136549.4276938257,260000.0,260136.8832731649,260133.43607612507,-1.325147359513617e-05,-3.4471970398153644,-2.5843377358456613e-05,3.2756185994698215,260130.1604575256,343.15688069108586,-119.51471242605476,47.157895107317216,-166.67260753337197,333345.21506674396,0.00024074617884875185
